14.77,15.22,15.82,12.96,15,14.27,14.59,14.65,14.76,13.92,14.71,13.69,14.62,14.48,15.23,14.92
1.95,2.121,2.301,1.775,2.081,1.837,1.984,1.924,1.949,1.774,1.989,1.816,1.918,1.878,2.053,2.055
1,1,1,1.399,1,1.248,1.138,1,1.37,1,1.418,1.204,1.151,1,1,1
9.9,9.9,9.9,6.655,9.9,6.707,9.9,9.9,9.198,8.658,9.581,6.799,9.286,7.528,9.9,6.351
0.07223,0.06333,0.08382,0.06055,0.099,0.06374,0.07142,0.07905,0.09527,0.08917,0.09208,0.06221,0.1035,0.06325,0.06791,0.05751
-0.3209,-0.001,-0.2309,-0.1473,-0.7484,-0.1964,-0.301,-0.1199,-0.746,-0.4259,-0.5748,-0.04436,-0.9072,-0.08887,-0.1891,-0.05113
12.05,7.613,14.78,5.18,19.47,6.653,10.54,8.608,11.95,9.009,11.67,5.071,12.59,6.381,13.25,6.301
